AFP|tr|H7FN97|H7FN97_FLAFP	AFP|tr|H7FN97|H7FN97_FLAFP
AFP|tr|H7FU10|H7FU10_FLAFP	AFP|tr|H7FU10|H7FU10_FLAFP
AFP|tr|A0A914D2C3|A0A914D2C3_9BILA	AFP|tr|A0A914D2C3|A0A914D2C3_9BILA
AFP|tr|Q1NG41|Q1NG41_SPHSS	AFP|tr|Q1NG41|Q1NG41_SPHSS
AFP|tr|H7FLG0|H7FLG0_FLAFP	AFP|tr|H7FLG0|H7FLG0_FLAFP
AFP|tr|H7FLG0|H7FLG0_FLAFP	AFP|tr|H7FPK1|H7FPK1_FLAFP
AFP|tr|H7FUZ7|H7FUZ7_FLAFP	AFP|tr|H7FUZ7|H7FUZ7_FLAFP
AFP|tr|H7FQB6|H7FQB6_FLAFP	AFP|tr|H7FQB6|H7FQB6_FLAFP
AFP|tr|A0A8S2M4U6|A0A8S2M4U6_9BILA	AFP|tr|A0A8S2M4U6|A0A8S2M4U6_9BILA
AFP|tr|U6JV63|U6JV63_9EIME	AFP|tr|U6JV63|U6JV63_9EIME
AFP|tr|A0AAD6AEX2|A0AAD6AEX2_9TELE	AFP|tr|A0AAD6AEX2|A0AAD6AEX2_9TELE
AFP|tr|A0A944Z8L9|A0A944Z8L9_9BACT	AFP|tr|A0A944Z8L9|A0A944Z8L9_9BACT
AFP|tr|U6N0D8|U6N0D8_9EIME	AFP|tr|U6N0D8|U6N0D8_9EIME
AFP|tr|A0AAY5EHI1|A0AAY5EHI1_ELEEL	AFP|tr|A0AAY5EHI1|A0AAY5EHI1_ELEEL
AFP|tr|H7FTM7|H7FTM7_FLAFP	AFP|tr|H7FTM7|H7FTM7_FLAFP
AFP|tr|H7FU48|H7FU48_FLAFP	AFP|tr|H7FU48|H7FU48_FLAFP
AFP|tr|H7FRC6|H7FRC6_FLAFP	AFP|tr|H7FRC6|H7FRC6_FLAFP
AFP|tr|A0AAE0ID27|A0AAE0ID27_9PEZI	AFP|tr|A0AAE0ID27|A0AAE0ID27_9PEZI
AFP|tr|A0A914FTE3|A0A914FTE3_9BILA	AFP|tr|A0A914FTE3|A0A914FTE3_9BILA
AFP|tr|A0A9P5NQ89|A0A9P5NQ89_GYMJU	AFP|tr|A0A9P5NQ89|A0A9P5NQ89_GYMJU
AFP|tr|A0A383VSR9|A0A383VSR9_TETOB	AFP|tr|A0A383VSR9|A0A383VSR9_TETOB
AFP|tr|A0A8C7HAB7|A0A8C7HAB7_ONCKI	AFP|tr|A0A8C7HAB7|A0A8C7HAB7_ONCKI
AFP|tr|A0A926P3Z4|A0A926P3Z4_9HYPH	AFP|tr|A0A926P3Z4|A0A926P3Z4_9HYPH
AFP|tr|A0A8S2S8H2|A0A8S2S8H2_9BILA	AFP|tr|A0A8S2S8H2|A0A8S2S8H2_9BILA
AFP|tr|A0A9D4CVD7|A0A9D4CVD7_DREPO	AFP|tr|A0A9D4CVD7|A0A9D4CVD7_DREPO
AFP|tr|A0A7S4T6L2|A0A7S4T6L2_9DINO	AFP|tr|A0A7S4T6L2|A0A7S4T6L2_9DINO
AFP|tr|A0A924C6S0|A0A924C6S0_9SPHN	AFP|tr|A0A924C6S0|A0A924C6S0_9SPHN
AFP|tr|A0A6P0TLL9|A0A6P0TLL9_9CYAN	AFP|tr|A0A6P0TLL9|A0A6P0TLL9_9CYAN
AFP|tr|A0A5A7NKA2|A0A5A7NKA2_9PROT	AFP|tr|A0A5A7NKA2|A0A5A7NKA2_9PROT
AFP|tr|H7FSS7|H7FSS7_FLAFP	AFP|tr|H7FSS7|H7FSS7_FLAFP
AFP|tr|H7FWN7|H7FWN7_FLAFP	AFP|tr|H7FWN7|H7FWN7_FLAFP
AFP|tr|A0A7U0TF39|A0A7U0TF39_9HEXA	AFP|tr|A0A7U0TF39|A0A7U0TF39_9HEXA
AFP|tr|A0A7U0TF39|A0A7U0TF39_9HEXA	AFP|tr|A0A7U0TF35|A0A7U0TF35_9HEXA
AFP|tr|A0A7U0TF39|A0A7U0TF39_9HEXA	AFP|tr|A0A7U0TF33|A0A7U0TF33_9HEXA
AFP|tr|A0A7U0TF39|A0A7U0TF39_9HEXA	AFP|tr|A0A7U0TF31|A0A7U0TF31_9HEXA
AFP|tr|A0A7U0TF39|A0A7U0TF39_9HEXA	AFP|tr|A0A7U0TF42|A0A7U0TF42_9HEXA
AFP|tr|A0A9P6L069|A0A9P6L069_9MICR	AFP|tr|A0A9P6L069|A0A9P6L069_9MICR
AFP|tr|H7FVG1|H7FVG1_FLAFP	AFP|tr|H7FVG1|H7FVG1_FLAFP
AFP|tr|A0A4P5RQ30|A0A4P5RQ30_UNCAC	AFP|tr|A0A4P5RQ30|A0A4P5RQ30_UNCAC
AFP|tr|A0A4P5RQ30|A0A4P5RQ30_UNCAC	AFP|tr|A0A5C2MBR9|A0A5C2MBR9_9CYAN
AFP|tr|A0A4P5RQ30|A0A4P5RQ30_UNCAC	AFP|tr|A0A951JEX2|A0A951JEX2_UNCPS
AFP|tr|A0A4P5RQ30|A0A4P5RQ30_UNCAC	AFP|tr|A0A661SQS5|A0A661SQS5_UNCDE
AFP|tr|A0A4P5RQ30|A0A4P5RQ30_UNCAC	AFP|tr|A0A924SGJ2|A0A924SGJ2_9ACTN
AFP|tr|A0A4P5RQ30|A0A4P5RQ30_UNCAC	AFP|tr|A0A933Y367|A0A933Y367_9BACT
AFP|tr|A0A4P5RQ30|A0A4P5RQ30_UNCAC	AFP|tr|A0A496TGD1|A0A496TGD1_UNCZH
AFP|tr|A0A4P5RQ30|A0A4P5RQ30_UNCAC	AFP|tr|A0A7U3NMD6|A0A7U3NMD6_9CYAN
AFP|tr|A0A4P5RQ30|A0A4P5RQ30_UNCAC	AFP|tr|A0A6L9YBP9|A0A6L9YBP9_9CYAN
AFP|tr|A0A4P5RQ30|A0A4P5RQ30_UNCAC	AFP|tr|A0A6P0KK98|A0A6P0KK98_9CYAN
AFP|tr|A0A4P5RQ30|A0A4P5RQ30_UNCAC	AFP|tr|A0A519TJM6|A0A519TJM6_9BACT
AFP|tr|A0AAE1TVU6|A0AAE1TVU6_9EUCA	AFP|tr|A0AAE1TVU6|A0AAE1TVU6_9EUCA
AFP|tr|U6KA10|U6KA10_9EIME	AFP|tr|U6KA10|U6KA10_9EIME
AFP|tr|H7FW08|H7FW08_FLAFP	AFP|tr|H7FW08|H7FW08_FLAFP
AFP|tr|A0AA38RCD0|A0AA38RCD0_9PEZI	AFP|tr|A0AA38RCD0|A0AA38RCD0_9PEZI
AFP|tr|H7FUC3|H7FUC3_FLAFP	AFP|tr|H7FUC3|H7FUC3_FLAFP
AFP|tr|A0A7X6FT24|A0A7X6FT24_9HYPH	AFP|tr|A0A7X6FT24|A0A7X6FT24_9HYPH
AFP|tr|A0A124IJ49|A0A124IJ49_9PROT	AFP|tr|A0A124IJ49|A0A124IJ49_9PROT
AFP|tr|A0A124IJ49|A0A124IJ49_9PROT	AFP|tr|A0A3D3IVK2|A0A3D3IVK2_9PROT
AFP|tr|A0A124IJ49|A0A124IJ49_9PROT	AFP|tr|A0A2G9X2L6|A0A2G9X2L6_9HYPH
AFP|tr|A0A124IJ49|A0A124IJ49_9PROT	AFP|tr|A0A1I4QGN7|A0A1I4QGN7_9HYPH
AFP|tr|A0A124IJ49|A0A124IJ49_9PROT	AFP|tr|A0A953C815|A0A953C815_9HYPH
AFP|tr|A0A124IJ49|A0A124IJ49_9PROT	AFP|tr|B8EL16|B8EL16_METSB
AFP|tr|A0A124IJ49|A0A124IJ49_9PROT	AFP|tr|A0A212RRD1|A0A212RRD1_RHOAC
AFP|tr|A0A124IJ49|A0A124IJ49_9PROT	AFP|tr|A0A7G6S809|A0A7G6S809_9HYPH
AFP|tr|A0A124IJ49|A0A124IJ49_9PROT	AFP|tr|A0A839UC62|A0A839UC62_9HYPH
