AFP|tr|A0A5K3VC09|A0A5K3VC09_9BILA	AFP|tr|A0A5K3VC09|A0A5K3VC09_9BILA
AFP|tr|A0A836PX71|A0A836PX71_9BACT	AFP|tr|A0A836PX71|A0A836PX71_9BACT
AFP|sp|P02732|ANP3_PAGBO	AFP|sp|P02732|ANP3_PAGBO
AFP|tr|A0AAN8ZVN2|A0AAN8ZVN2_HALRR	AFP|tr|A0AAN8ZVN2|A0AAN8ZVN2_HALRR
AFP|tr|H7FRK4|H7FRK4_FLAFP	AFP|tr|H7FRK4|H7FRK4_FLAFP
AFP|tr|H7FW68|H7FW68_FLAFP	AFP|tr|H7FW68|H7FW68_FLAFP
AFP|tr|H7FUT6|H7FUT6_FLAFP	AFP|tr|H7FUT6|H7FUT6_FLAFP
AFP|tr|H7FUT6|H7FUT6_FLAFP	AFP|tr|H7FSQ8|H7FSQ8_FLAFP
AFP|tr|H7FUT6|H7FUT6_FLAFP	AFP|tr|H7FUT3|H7FUT3_FLAFP
AFP|tr|A0A9D4M227|A0A9D4M227_DREPO	AFP|tr|A0A9D4M227|A0A9D4M227_DREPO
AFP|tr|A0A961Q031|A0A961Q031_9RHOB	AFP|tr|A0A961Q031|A0A961Q031_9RHOB
AFP|tr|A0A961Q031|A0A961Q031_9RHOB	AFP|tr|A0A840SRV3|A0A840SRV3_9RHOB
AFP|tr|A0A961Q031|A0A961Q031_9RHOB	AFP|tr|A0A961L1Z6|A0A961L1Z6_9RHOB
AFP|tr|A0A961Q031|A0A961Q031_9RHOB	AFP|tr|A0A501WTC3|A0A501WTC3_9RHOB
AFP|tr|A0A961Q031|A0A961Q031_9RHOB	AFP|tr|A0A961PF51|A0A961PF51_9RHOB
AFP|tr|A0A961Q031|A0A961Q031_9RHOB	AFP|tr|A0A2W5NA99|A0A2W5NA99_RHOSU
AFP|tr|A0A961Q031|A0A961Q031_9RHOB	AFP|tr|A0A963KUK1|A0A963KUK1_9PROT
AFP|tr|A0A961Q031|A0A961Q031_9RHOB	AFP|tr|A0AAE3CY85|A0AAE3CY85_9HYPH
AFP|tr|A0A8J5VJP2|A0A8J5VJP2_ZIZPA	AFP|tr|A0A8J5VJP2|A0A8J5VJP2_ZIZPA
AFP|tr|H7FWA4|H7FWA4_FLAFP	AFP|tr|H7FWA4|H7FWA4_FLAFP
AFP|tr|A0A819T273|A0A819T273_9BILA	AFP|tr|A0A819T273|A0A819T273_9BILA
AFP|tr|A0A819T273|A0A819T273_9BILA	AFP|tr|A0A820BLW9|A0A820BLW9_9BILA
AFP|tr|A0A0R3NER5|A0A0R3NER5_9BRAD	AFP|tr|A0A0R3NER5|A0A0R3NER5_9BRAD
AFP|tr|H7FVU7|H7FVU7_FLAFP	AFP|tr|H7FVU7|H7FVU7_FLAFP
AFP|tr|A0A803V4V8|A0A803V4V8_FICAL	AFP|tr|A0A803V4V8|A0A803V4V8_FICAL
AFP|tr|A0A1A8VRL8|A0A1A8VRL8_PLAMA	AFP|tr|A0A1A8VRL8|A0A1A8VRL8_PLAMA
AFP|tr|A0A815GLV8|A0A815GLV8_9BILA	AFP|tr|A0A815GLV8|A0A815GLV8_9BILA
AFP|tr|A0A815GLV8|A0A815GLV8_9BILA	AFP|tr|A0A820CTY4|A0A820CTY4_9BILA
AFP|tr|L8J2Q2|L8J2Q2_9CETA	AFP|tr|L8J2Q2|L8J2Q2_9CETA
AFP|tr|Q1AMR8|Q1AMR8_GYMAC	AFP|tr|Q1AMR8|Q1AMR8_GYMAC
AFP|tr|A0AAJ0LXR1|A0AAJ0LXR1_9PEZI	AFP|tr|A0AAJ0LXR1|A0AAJ0LXR1_9PEZI
AFP|tr|A0A9Q1MQX5|A0A9Q1MQX5_9SOLA	AFP|tr|A0A9Q1MQX5|A0A9Q1MQX5_9SOLA
AFP|tr|U6LWA0|U6LWA0_9EIME	AFP|tr|U6LWA0|U6LWA0_9EIME
AFP|tr|A0A5K1GKH4|A0A5K1GKH4_9MAGN	AFP|tr|A0A5K1GKH4|A0A5K1GKH4_9MAGN
AFP|tr|A0A5K1GKH4|A0A5K1GKH4_9MAGN	AFP|tr|U6H7V1|U6H7V1_9EIME
AFP|tr|A0A2E1VZZ2|A0A2E1VZZ2_UNCAI	AFP|tr|A0A2E1VZZ2|A0A2E1VZZ2_UNCAI
AFP|tr|A0AAE1PQF3|A0AAE1PQF3_9EUCA	AFP|tr|A0AAE1PQF3|A0AAE1PQF3_9EUCA
AFP|tr|H7FWG8|H7FWG8_FLAFP	AFP|tr|H7FWG8|H7FWG8_FLAFP
AFP|tr|A0A1X6PFY7|A0A1X6PFY7_PORUM	AFP|tr|A0A1X6PFY7|A0A1X6PFY7_PORUM
AFP|tr|A0A1X6PFY7|A0A1X6PFY7_PORUM	AFP|tr|A0A1X6NVC1|A0A1X6NVC1_PORUM
AFP|tr|H7FM49|H7FM49_FLAFP	AFP|tr|H7FM49|H7FM49_FLAFP
AFP|tr|Q9LXI2|Q9LXI2_ARATH	AFP|tr|Q9LXI2|Q9LXI2_ARATH
AFP|tr|H7FPV2|H7FPV2_FLAFP	AFP|tr|H7FPV2|H7FPV2_FLAFP
AFP|tr|U6JX07|U6JX07_9EIME	AFP|tr|U6JX07|U6JX07_9EIME
AFP|tr|A0A9P3JGW2|A0A9P3JGW2_9VIRI	AFP|tr|A0A9P3JGW2|A0A9P3JGW2_9VIRI
